Date_quarter,Date,sp500,vix,cpi,pop16,hours,priv_emp,wti,gs2,nfci,epu,gdp,inv,unrate,GPRD,GPRD_ACT,GPRD_THREAT,t10Y2Y,t10Y3M,payems
2004,2004-01-01,1132.67128630607,16.658064516129,186.7,222356,91.2,109346.333333333,35.2566666666667,1.69333333333333,-0.798616153846154,87.1699923041907,15248.68,2498.14,5.7,122.164395604396,146.872307692308,106.276483516484,2.32338709677419,3.07629032258065,130905
2004.25,2004-04-01,1123.19645641696,16.2112698412698,188.166666666667,222973.333333333,91.297,110024.666666667,38.33,2.45333333333333,-0.733184615384615,87.4031491629721,15366.85,2597.507,5.6,135.696923076923,180.303846153846,106.489450549451,2.14241935483871,3.50096774193548,131634.333333333
2004.5,2004-07-01,1103.90827941895,15.4421875,189.366666666667,223680,91.817,110339,43.86,2.56,-0.704095384615385,93.9719864121718,15512.619,2638.672,5.43333333333333,140.978260869565,174.914782608696,125.342608695652,1.74484375,2.7875,131961.333333333
2004.75,2004-10-01,1162.65203285217,13.65140625,191.4,224418,92.327,110841,48.3066666666667,2.81333333333333,-0.713303571428571,93.8566991456421,15670.88,2693.575,5.43333333333333,116.479456521739,147.811304347826,91.6817391304348,1.35338709677419,2.12838709677419,132521.333333333
2005,2005-01-01,1191.94786797195,12.7870491803279,192.366666666667,225038,92.587,111249,49.7066666666667,3.44333333333333,-0.7041725,55.9128851098758,15844.727,2769.261,5.3,99.4982222222222,107.408111111111,89.8197777777778,0.848688524590164,1.7144262295082,132988.666666667
2005.25,2005-04-01,1181.9740562439,13.40734375,193.666666666667,225674,93.061,111952.333333333,53.0433333333333,3.64333333333333,-0.616901538461539,78.4974093141908,15922.782,2733.225,5.1,89.2679120879121,101.030769230769,77.9052747252748,0.51265625,1.231875,133718.333333333
2005.5,2005-07-01,1224.17437744141,12.25078125,196.6,226422.333333333,93.297,112597.333333333,63.08,3.95333333333333,-0.602065,79.1088786221581,16047.587,2769.106,4.96666666666667,128.743586956522,170.860108695652,96.5733695652174,0.2571875,0.776875,134452.333333333
2005.75,2005-10-01,1230.46825396826,12.781746031746,198.433333333333,227196,93.896,113077.666666667,60.0333333333333,4.36333333333333,-0.578865384615385,69.9748694555516,16136.734,2857.35,4.96666666666667,88.3495652173913,110.524239130435,71.1584782608696,0.123606557377049,0.574590163934426,134933.333333333
2006,2006-01-01,1283.65500173261,12.0424193548387,199.466666666667,227763.666666667,94.914,113855,63.3466666666667,4.6,-0.618553076923077,66.5263520098131,16353.835,2899.229,4.73333333333333,93.9545555555556,99.2784444444445,88.6726666666667,-0.0275806451612903,0.0704838709677419,135731
2006.25,2006-04-01,1280.81174432664,14.5287301587302,201.266666666667,228432.666666667,95.13,114341.666666667,70.53,4.99333333333333,-0.587985384615385,77.3492684064795,16396.151,2882.564,4.63333333333333,91.9293406593407,95.8120879120879,86.7275824175824,0.0747619047619048,0.242539682539683,136264
2006.5,2006-07-01,1288.31730724517,13.6079365079365,203.166666666667,229166.333333333,95.491,114661.666666667,70.4433333333333,4.93,-0.583044615384615,72.5802992711164,16420.738,2871.589,4.63333333333333,133.059239130435,141.352826086957,128.969347826087,-0.0355555555555556,-0.141587301587302,136683.666666667
2006.75,2006-10-01,1388.63539341518,11.0349206349206,202.333333333333,229896,95.942,114972.333333333,60.0933333333333,4.73666666666667,-0.627336923076923,52.0892268940438,16561.866,2818.228,4.43333333333333,97.4520652173913,88.1004347826087,102.689347826087,-0.106935483870968,-0.401129032258065,137052
2007,2007-01-01,1424.3813116355,12.5636065573771,204.317,230839.333333333,95.895,115479,58.13,4.76666666666667,-0.655382307692308,65.9666391841975,16611.69,2800.037,4.5,92.7924444444445,89.5182222222223,92.7483333333333,-0.0814516129032258,-0.435,137604
2007.25,2007-04-01,1497.17618815104,13.7319047619048,206.631,231482,96.31,115777.333333333,64.97,4.80666666666667,-0.565985384615385,66.5793154887328,16713.314,2827.01,4.5,88.7414285714286,98.5036263736264,79.6749450549451,0.04234375,-0.0259375,137969
2007.5,2007-07-01,1489.46349516369,21.5892063492064,207.939,232210,96.054,115827.333333333,75.5,4.38,-0.0633346153846154,81.5609009129639,16809.587,2794.526,4.66666666666667,96.6498913043479,106.69347826087,90.5677173913044,0.347619047619048,0.304126984126984,138052.666666667
2007.75,2007-10-01,1495.7454662323,22.02984375,210.489666666667,232936.666666667,95.792,115952,90.85,3.47666666666667,0.269246923076923,104.732379423786,16915.191,2762.518,4.8,94.97,87.2157608695652,98.8796739130435,0.776935483870968,0.775,138287.666666667
2008,2008-01-01,1350.66147500961,26.1201639344262,212.769666666667,232806.666666667,95.468,115909,97.9533333333333,2.02333333333333,0.646202307692308,133.27717314278,16843.003,2686.998,5,80.1761538461538,84.6227472527472,74.0918681318681,1.63590163934426,1.56081967213115,138325
